candidate_id,rank,score,reasoning
CAND_0056302,19,0.8001,Mechanical Engineer (7.8 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (63%). Located in a JD-preferred city. Semantic JD match score: 0.650.
CAND_0094759,20,0.7996,"Lead AI Engineer (8.6 yrs exp) at Meta. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Low recruiter response rate (11%), may be hard to reach. Solid GitHub activity score (76). Located in a JD-preferred city. Semantic JD match score: 0.600."
CAND_0043671,21,0.7995,Graphic Designer (10.3 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (64%). Located in a JD-preferred city. Semantic JD match score: 0.650.
CAND_0075090,22,0.798,Project Manager (3.2 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Solid GitHub activity score (38). Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.628.
CAND_0000927,23,0.7974,Civil Engineer (11.4 yrs exp) at Acme Corp. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.647.
CAND_0073007,24,0.7969,AI Specialist (5.8 yrs exp) at Aganitha. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (83%). Solid GitHub activity score (66). Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.547.
CAND_0029552,25,0.7931,"Civil Engineer (10.5 yrs exp) at Dunder Mifflin. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Marked open to work. Long notice period (120 days), JD prefers under 30. Located in a JD-preferred city. Semantic JD match score: 0.653."
CAND_0042642,26,0.7928,"Civil Engineer (11.5 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Solid GitHub activity score (32). Marked open to work. Long notice period (120 days), JD prefers under 30. Semantic JD match score: 0.663."
CAND_0068932,27,0.7925,ML Engineer (5.2 yrs exp) at Krutrim. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (82%). Solid GitHub activity score (70). Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.543.
CAND_0081472,28,0.7921,"Civil Engineer (2.2 yrs exp) at Initech. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (75%). Marked open to work. Long notice period (90 days), JD prefers under 30. Located in a JD-preferred city. Semantic JD match score: 0.632."
CAND_0073765,29,0.7918,Mechanical Engineer (1.9 yrs exp) at Stark Industries. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Marked open to work. Semantic JD match score: 0.632.
CAND_0026922,30,0.7914,Project Manager (12.5 yrs exp) at Acme Corp. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.641.
CAND_0031354,31,0.7913,HR Manager (5.5 yrs exp) at Initech. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (74%). Semantic JD match score: 0.651.
CAND_0007688,32,0.7907,Business Analyst (10.0 yrs exp) at Wayne Enterprises. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (69%). Solid GitHub activity score (30). Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.601.
CAND_0029764,33,0.7905,"Project Manager (13.7 yrs exp) at Globex Inc. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Low recruiter response rate (11%), may be hard to reach. Located in a JD-preferred city. Semantic JD match score: 0.641."
CAND_0072135,34,0.7904,"Mechanical Engineer (9.8 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Low recruiter response rate (12%), may be hard to reach. Located in a JD-preferred city. Semantic JD match score: 0.640."
CAND_0024282,35,0.7901,Civil Engineer (3.0 yrs exp) at Dunder Mifflin. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (78%). Located in a JD-preferred city. Semantic JD match score: 0.640.
CAND_0063737,36,0.7897,HR Manager (7.7 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.640.
CAND_0001206,37,0.7895,Civil Engineer (8.8 yrs exp) at Initech. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (68%). Solid GitHub activity score (50). Located in a JD-preferred city. Semantic JD match score: 0.639.
CAND_0065890,38,0.7888,Business Analyst (4.0 yrs exp) at Dunder Mifflin. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (61%). Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.619.
CAND_0075469,39,0.7888,Customer Support (5.4 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (72%). Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.639.
CAND_0049800,40,0.7879,"Marketing Manager (13.6 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Low recruiter response rate (16%), may be hard to reach. Solid GitHub activity score (47). Located in a JD-preferred city. Semantic JD match score: 0.618."
CAND_0090656,41,0.7872,Graphic Designer (5.1 yrs exp) at Stark Industries. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Solid GitHub activity score (35). Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.617.
CAND_0014439,42,0.7869,Civil Engineer (2.2 yrs exp) at Globex Inc. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Solid GitHub activity score (37). Marked open to work. Semantic JD match score: 0.627.
CAND_0056374,43,0.7867,"Project Manager (12.9 yrs exp) at Dunder Mifflin. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Low recruiter response rate (18%), may be hard to reach. Marked open to work. Located outside India; JD requires relocation willingness. Semantic JD match score: 0.647."
CAND_0000220,44,0.7863,"Marketing Manager (10.9 yrs exp) at Dunder Mifflin. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Low recruiter response rate (8%), may be hard to reach. Located in a JD-preferred city. Semantic JD match score: 0.636."
CAND_0043613,45,0.785,"Project Manager (13.8 yrs exp) at Stark Industries. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Low recruiter response rate (17%), may be hard to reach. Located in a JD-preferred city. Semantic JD match score: 0.635."
CAND_0060832,46,0.7843,Mechanical Engineer (12.6 yrs exp) at Dunder Mifflin. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Marked open to work. Semantic JD match score: 0.624.
CAND_0076952,47,0.7841,"Business Analyst (6.2 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Low recruiter response rate (11%), may be hard to reach. Located in a JD-preferred city. Semantic JD match score: 0.654."
CAND_0080549,48,0.7837,Sales Executive (8.9 yrs exp) at Acme Corp. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Solid GitHub activity score (36). Located in a JD-preferred city. Semantic JD match score: 0.634.
CAND_0072257,49,0.7835,HR Manager (14.0 yrs exp) at Stark Industries. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Solid GitHub activity score (35). Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.614.
CAND_0077391,50,0.7829,Civil Engineer (2.1 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Located in a JD-preferred city. Semantic JD match score: 0.633.
CAND_0098454,51,0.7829,AI Specialist (6.6 yrs exp) at Meesho. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (87%). Marked open to work. Semantic JD match score: 0.573.
CAND_0074657,52,0.7823,Civil Engineer (12.5 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Solid GitHub activity score (39). Marked open to work. Semantic JD match score: 0.642.
CAND_0055216,53,0.7818,"Civil Engineer (2.3 yrs exp) at Dunder Mifflin. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Low recruiter response rate (17%), may be hard to reach. Located in a JD-preferred city. Semantic JD match score: 0.652."
CAND_0088025,54,0.7816,"Staff Machine Learning Engineer (8.6 yrs exp) at Yellow.ai. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (83%). Solid GitHub activity score (75). Marked open to work. Long notice period (90 days), JD prefers under 30. Semantic JD match score: 0.572."
CAND_0022634,55,0.7811,"Customer Support (4.3 yrs exp) at Initech. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Low recruiter response rate (5%), may be hard to reach. Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.611."
CAND_0047431,56,0.7808,Project Manager (11.3 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Solid GitHub activity score (36). Located in a JD-preferred city. Semantic JD match score: 0.631.
CAND_0004320,57,0.7806,"Sales Executive (12.5 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Long notice period (90 days), JD prefers under 30. Located in a JD-preferred city. Semantic JD match score: 0.641."
CAND_0020372,58,0.7806,Marketing Manager (13.4 yrs exp) at Stark Industries. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (60%). Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.611.
CAND_0074548,59,0.7791,Mechanical Engineer (5.9 yrs exp) at Stark Industries. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (61%). Located in a JD-preferred city. Semantic JD match score: 0.649.
CAND_0063431,60,0.7787,Business Analyst (12.3 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (60%). Solid GitHub activity score (33). Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.609.
CAND_0016335,61,0.7785,Graphic Designer (13.8 yrs exp) at Stark Industries. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Located in a JD-preferred city. Semantic JD match score: 0.629.
CAND_0055929,62,0.7782,Graphic Designer (14.5 yrs exp) at Dunder Mifflin. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Solid GitHub activity score (49). Marked open to work. Semantic JD match score: 0.638.
CAND_0019848,63,0.7779,Operations Manager (5.9 yrs exp) at Dunder Mifflin. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (65%). Marked open to work. Semantic JD match score: 0.638.
CAND_0033562,64,0.7775,Mechanical Engineer (4.6 yrs exp) at Acme Corp. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (74%). Located in a JD-preferred city. Semantic JD match score: 0.647.
CAND_0067885,65,0.7774,"Marketing Manager (11.3 yrs exp) at Globex Inc. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Low recruiter response rate (13%), may be hard to reach. Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.607."
CAND_0019783,66,0.7769,Civil Engineer (13.2 yrs exp) at Hooli. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (78%). Solid GitHub activity score (39). Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.607.
CAND_0095529,67,0.7766,"HR Manager (8.6 yrs exp) at Acme Corp. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Low recruiter response rate (15%), may be hard to reach. Solid GitHub activity score (49). Located in a JD-preferred city. Semantic JD match score: 0.627."
CAND_0011687,68,0.7765,Senior NLP Engineer (7.8 yrs exp) at Niramai. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (89%). Solid GitHub activity score (76). Marked open to work. Semantic JD match score: 0.557.
CAND_0086738,69,0.7762,Marketing Manager (11.9 yrs exp) at Acme Corp. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Marked open to work. Located outside India; JD requires relocation willingness. Semantic JD match score: 0.636.
CAND_0026162,70,0.7757,Business Analyst (5.4 yrs exp) at Initech. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Located in a JD-preferred city. Semantic JD match score: 0.626.
CAND_0027237,71,0.7754,"Sales Executive (7.7 yrs exp) at Stark Industries. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Low recruiter response rate (17%), may be hard to reach. Located in a JD-preferred city. Semantic JD match score: 0.625."
CAND_0022484,72,0.7752,Mechanical Engineer (4.1 yrs exp) at Dunder Mifflin. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.625.
CAND_0099738,73,0.7751,"Civil Engineer (12.6 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Long notice period (90 days), JD prefers under 30. Located outside India; JD requires relocation willingness. Semantic JD match score: 0.665."
CAND_0008536,74,0.7749,"Accountant (4.8 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Low recruiter response rate (18%), may be hard to reach. Solid GitHub activity score (39). Located in a JD-preferred city. Semantic JD match score: 0.625."
CAND_0014379,75,0.7749,"Customer Support (3.5 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Low recruiter response rate (12%), may be hard to reach. Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.625."
CAND_0074208,76,0.7746,Marketing Manager (10.7 yrs exp) at Acme Corp. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (77%). Solid GitHub activity score (32). Marked open to work. Semantic JD match score: 0.635.
CAND_0048079,77,0.7744,Sales Executive (7.8 yrs exp) at Hooli. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Solid GitHub activity score (42). Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.604.
CAND_0028801,78,0.7739,"Sales Executive (9.2 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (69%). Marked open to work. Long notice period (90 days), JD prefers under 30. Located in a JD-preferred city. Semantic JD match score: 0.654."
CAND_0078258,79,0.7737,Civil Engineer (4.8 yrs exp) at Hooli. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.624.
CAND_0026248,80,0.7734,"Civil Engineer (10.7 yrs exp) at Stark Industries. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Marked open to work. Long notice period (120 days), JD prefers under 30. Located outside India; JD requires relocation willingness. Semantic JD match score: 0.643."
CAND_0072688,81,0.7733,Data Scientist (6.9 yrs exp) at Niramai. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (87%). Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.533.
CAND_0099937,82,0.7732,Graphic Designer (14.8 yrs exp) at Dunder Mifflin. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Located in a JD-preferred city. Semantic JD match score: 0.623.
CAND_0089405,83,0.7728,Civil Engineer (9.9 yrs exp) at Globex Inc. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Located in a JD-preferred city. Semantic JD match score: 0.643.
CAND_0016425,84,0.7726,Operations Manager (12.3 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (62%). Marked open to work. Semantic JD match score: 0.633.
CAND_0005458,85,0.7722,Business Analyst (4.5 yrs exp) at Stark Industries. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (61%). Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.622.
CAND_0055905,86,0.7722,Senior Machine Learning Engineer (8.1 yrs exp) at Flipkart. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (87%). Marked open to work. Located outside India; JD requires relocation willingness. Semantic JD match score: 0.602.
CAND_0068517,87,0.772,HR Manager (11.6 yrs exp) at Stark Industries. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (72%). Marked open to work. Semantic JD match score: 0.632.
CAND_0077498,88,0.772,Senior Software Engineer (ML) (5.4 yrs exp) at Niramai. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (89%). Solid GitHub activity score (58). Marked open to work. Semantic JD match score: 0.552.
CAND_0059294,89,0.7718,Sales Executive (13.0 yrs exp) at Initech. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (63%). Solid GitHub activity score (49). Marked open to work. Semantic JD match score: 0.612.
CAND_0018610,90,0.7716,Civil Engineer (13.1 yrs exp) at Initech. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Located in a JD-preferred city. Semantic JD match score: 0.642.
CAND_0024526,91,0.7716,Sales Executive (5.2 yrs exp) at Initech. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (69%). Located in a JD-preferred city. Semantic JD match score: 0.642.
CAND_0007177,92,0.7715,HR Manager (4.0 yrs exp) at Dunder Mifflin. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Located outside India; JD requires relocation willingness. Semantic JD match score: 0.652.
CAND_0065445,93,0.7714,"Civil Engineer (12.1 yrs exp) at Dunder Mifflin. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Long notice period (120 days), JD prefers under 30. Located in a JD-preferred city. Semantic JD match score: 0.651."
CAND_0036847,94,0.7713,Project Manager (13.5 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Solid GitHub activity score (48). Semantic JD match score: 0.631.
CAND_0053459,95,0.7712,Business Analyst (4.1 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Semantic JD match score: 0.631.
CAND_0032095,96,0.7709,Accountant (10.5 yrs exp) at Acme Corp. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.621.
CAND_0006324,97,0.7708,Mechanical Engineer (11.4 yrs exp) at Dunder Mifflin. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (76%). Marked open to work. Semantic JD match score: 0.631.
CAND_0093193,98,0.7705,Senior Machine Learning Engineer (7.9 yrs exp) at Niramai. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (61%). Solid GitHub activity score (34). Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.581.
CAND_0073671,99,0.77,Mechanical Engineer (7.1 yrs exp) at Dunder Mifflin. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (75%). Solid GitHub activity score (48). Marked open to work. Located outside India; JD requires relocation willingness. Semantic JD match score: 0.630.
CAND_0067226,100,0.7699,"Operations Manager (11.4 yrs exp) at Initech. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Solid GitHub activity score (49). Marked open to work. Long notice period (120 days), JD prefers under 30. Located in a JD-preferred city. Semantic JD match score: 0.630."
